    family	     locus	chr	    pos	    FLOD
         1	      C1M1	  1	  0.000	  -3.487
         1	      C1M4	  1	  5.010	  -3.777
         1	      C1M7	  1	 10.020	  -3.777
         1	     C1M10	  1	 15.030	  -3.777
         1	     C1M13	  1	 20.040	  -3.776
         1	     C1M16	  1	 25.050	  -3.349
         1	     C1M19	  1	 30.060	  -0.473
         1	     C1M22	  1	 35.070	  -3.349
         1	     C1M25	  1	 40.080	  -3.776
         1	     C1M28	  1	 45.090	  -3.776
         1	     C1M31	  1	 50.100	  -3.288
         1	     C1M34	  1	 55.110	  -0.379
         1	     C1M37	  1	 60.120	  -0.379
         1	     C1M40	  1	 65.130	  -3.288
         1	     C1M43	  1	 70.140	  -3.776
         1	     C1M46	  1	 75.150	  -3.349
         1	     C1M49	  1	 80.160	  -0.473
         1	     C1M52	  1	 85.170	  -3.349
         1	     C1M55	  1	 90.180	  -3.776
         1	     C1M58	  1	 95.190	  -3.581
         1	     C1M61	  1	100.200	  -0.942
         1	     C1M64	  1	105.210	  -3.581
         1	     C1M67	  1	110.220	  -3.777
         1	     C1M70	  1	115.230	  -3.777
         1	     C1M73	  1	120.240	  -3.777
         1	     C1M76	  1	125.250	  -3.777
         1	     C1M79	  1	130.260	  -3.776
         1	     C1M82	  1	135.270	  -3.349
         1	     C1M85	  1	140.280	  -0.472
         1	     C1M88	  1	145.290	  -2.877
         1	     C1M91	  1	150.300	  -0.933
         1	     C1M94	  1	155.310	  -2.586
         1	     C1M97	  1	160.320	  -0.128
         1	    C1M100	  1	165.330	  -0.008
         1	    C1M103	  1	170.340	  -3.006
         1	    C1M106	  1	175.350	  -3.775
         1	    C1M109	  1	180.360	  -3.581
         1	    C1M112	  1	185.370	  -0.942
         1	    C1M115	  1	190.380	  -3.276
         1	    C1M118	  1	195.390	  -1.065
         1	    C1M121	  1	200.400	  -3.622
         1	    C1M124	  1	205.410	  -3.777
         1	    C1M127	  1	210.420	  -3.777
         1	    C1M130	  1	215.430	  -3.777
         1	    C1M133	  1	220.440	  -3.777
         1	    C1M136	  1	225.450	  -3.776
         1	    C1M139	  1	230.460	  -3.343
         1	    C1M142	  1	235.470	  -0.463
         1	    C1M145	  1	240.480	  -0.500
         1	    C1M148	  1	245.490	  -3.366
         1	    C1M151	  1	250.500	  -3.776
         1	    C1M154	  1	255.510	  -3.347
         1	    C1M157	  1	260.520	  -0.470
         1	    C1M160	  1	265.530	  -2.523
         1	    C1M163	  1	270.540	  -0.470
         1	    C1M166	  1	275.550	  -3.347
         1	    C1M169	  1	280.560	  -3.776
         1	    C1M172	  1	285.570	  -3.777
         1	    C1M175	  1	290.580	  -3.777
         1	    C1M178	  1	295.590	  -3.777
         1	    C1M181	  1	300.600	  -3.487
         1	      C2M1	  2	  0.000	  -3.474
         1	      C2M4	  2	  5.010	  -2.639
         1	      C2M7	  2	 10.020	   0.405
         1	     C2M10	  2	 15.030	   0.405
         1	     C2M13	  2	 20.040	  -2.641
         1	     C2M16	  2	 25.050	  -3.772
         1	     C2M19	  2	 30.060	  -3.349
         1	     C2M22	  2	 35.070	  -0.473
         1	     C2M25	  2	 40.080	  -3.349
         1	     C2M28	  2	 45.090	  -3.776
         1	     C2M31	  2	 50.100	  -3.776
         1	     C2M34	  2	 55.110	  -3.347
         1	     C2M37	  2	 60.120	  -0.470
         1	     C2M40	  2	 65.130	  -2.523
         1	     C2M43	  2	 70.140	  -0.470
         1	     C2M46	  2	 75.150	  -3.347
         1	     C2M49	  2	 80.160	  -3.776
         1	     C2M52	  2	 85.170	  -3.777
         1	     C2M55	  2	 90.180	  -3.777
         1	     C2M58	  2	 95.190	  -3.777
         1	     C2M61	  2	100.200	  -3.777
         1	     C2M64	  2	105.210	  -3.622
         1	     C2M67	  2	110.220	  -1.066
         1	     C2M70	  2	115.230	  -3.622
         1	     C2M73	  2	120.240	  -3.777
         1	     C2M76	  2	125.250	  -3.777
         1	     C2M79	  2	130.260	  -3.776
         1	     C2M82	  2	135.270	  -3.349
         1	     C2M85	  2	140.280	  -0.472
         1	     C2M88	  2	145.290	  -2.959
         1	     C2M91	  2	150.300	  -1.063
         1	     C2M94	  2	155.310	  -3.621
         1	     C2M97	  2	160.320	  -3.581
         1	    C2M100	  2	165.330	  -0.942
         1	    C2M103	  2	170.340	  -3.581
         1	    C2M106	  2	175.350	  -3.777
         1	    C2M109	  2	180.360	  -3.777
         1	    C2M112	  2	185.370	  -3.777
         1	    C2M115	  2	190.380	  -3.777
         1	    C2M118	  2	195.390	  -3.777
         1	    C2M121	  2	200.400	  -3.777
         1	    C2M124	  2	205.410	  -3.777
         1	    C2M127	  2	210.420	  -3.777
         1	    C2M130	  2	215.430	  -3.777
         1	    C2M133	  2	220.440	  -3.776
         1	    C2M136	  2	225.450	  -3.349
         1	    C2M139	  2	230.460	  -0.473
         1	    C2M142	  2	235.470	  -3.349
         1	    C2M145	  2	240.480	  -3.772
         1	    C2M148	  2	245.490	  -2.641
         1	    C2M151	  2	250.500	   0.405
         1	    C2M154	  2	255.510	   0.405
         1	    C2M157	  2	260.520	  -2.641
         1	    C2M160	  2	265.530	  -3.772
         1	    C2M163	  2	270.540	  -3.622
         1	    C2M166	  2	275.550	  -1.066
         1	    C2M169	  2	280.560	  -3.622
         1	    C2M172	  2	285.570	  -3.777
         1	    C2M175	  2	290.580	  -3.777
         1	    C2M178	  2	295.590	  -3.777
         1	    C2M181	  2	300.600	  -3.487
         1	      C3M1	  3	  0.000	  -3.066
         1	      C3M4	  3	  5.010	  -0.940
         1	      C3M7	  3	 10.020	  -3.208
         1	     C3M10	  3	 15.030	  -0.941
         1	     C3M13	  3	 20.040	  -3.551
         1	     C3M16	  3	 25.050	  -2.207
         1	     C3M19	  3	 30.060	   0.859
         1	     C3M22	  3	 35.070	   0.900
         1	     C3M25	  3	 40.080	   0.895
         1	     C3M28	  3	 45.090	   0.854
         1	     C3M31	  3	 50.100	  -2.213
         1	     C3M34	  3	 55.110	  -3.764
         1	     C3M37	  3	 60.120	  -3.349
         1	     C3M40	  3	 65.130	  -0.473
         1	     C3M43	  3	 70.140	  -3.349
         1	     C3M46	  3	 75.150	  -3.776
         1	     C3M49	  3	 80.160	  -3.777
         1	     C3M52	  3	 85.170	  -3.777
         1	     C3M55	  3	 90.180	  -3.777
         1	     C3M58	  3	 95.190	  -3.777
         1	     C3M61	  3	100.200	  -3.775
         1	     C3M64	  3	105.210	  -3.010
         1	     C3M67	  3	110.220	  -0.012
         1	     C3M70	  3	115.230	   0.072
         1	     C3M73	  3	120.240	  -2.939
         1	     C3M76	  3	125.250	  -3.775
         1	     C3M79	  3	130.260	  -3.777
         1	     C3M82	  3	135.270	  -3.777
         1	     C3M85	  3	140.280	  -3.777
         1	     C3M88	  3	145.290	  -3.777
         1	     C3M91	  3	150.300	  -3.777
         1	     C3M94	  3	155.310	  -3.777
         1	     C3M97	  3	160.320	  -3.777
         1	    C3M100	  3	165.330	  -3.777
         1	    C3M103	  3	170.340	  -3.777
         1	    C3M106	  3	175.350	  -3.777
         1	    C3M109	  3	180.360	  -3.777
         1	    C3M112	  3	185.370	  -3.777
         1	    C3M115	  3	190.380	  -3.776
         1	    C3M118	  3	195.390	  -3.255
         1	    C3M121	  3	200.400	  -0.332
         1	      C4M1	  4	  0.000	  -3.486
         1	      C4M4	  4	  5.010	  -3.581
         1	      C4M7	  4	 10.020	  -0.942
         1	     C4M10	  4	 15.030	  -3.581
         1	     C4M13	  4	 20.040	  -3.777
         1	     C4M16	  4	 25.050	  -3.622
         1	     C4M19	  4	 30.060	  -1.066
         1	     C4M22	  4	 35.070	  -3.622
         1	     C4M25	  4	 40.080	  -3.777
         1	     C4M28	  4	 45.090	  -3.776
         1	     C4M31	  4	 50.100	  -3.349
         1	     C4M34	  4	 55.110	  -0.473
         1	     C4M37	  4	 60.120	  -3.349
         1	     C4M40	  4	 65.130	  -3.776
         1	     C4M43	  4	 70.140	  -3.622
         1	     C4M46	  4	 75.150	  -1.066
         1	     C4M49	  4	 80.160	  -3.621
         1	     C4M52	  4	 85.170	  -3.416
         1	     C4M55	  4	 90.180	  -0.586
         1	     C4M58	  4	 95.190	  -0.586
         1	     C4M61	  4	100.200	  -3.416
         1	     C4M64	  4	105.210	  -3.776
         1	     C4M67	  4	110.220	  -3.777
         1	     C4M70	  4	115.230	  -3.777
         1	     C4M73	  4	120.240	  -3.777
         1	     C4M76	  4	125.250	  -3.777
         1	     C4M79	  4	130.260	  -3.777
         1	     C4M82	  4	135.270	  -3.777
         1	     C4M85	  4	140.280	  -3.777
         1	     C4M88	  4	145.290	  -3.777
         1	     C4M91	  4	150.300	  -3.777
         1	     C4M94	  4	155.310	  -3.581
         1	     C4M97	  4	160.320	  -0.942
         1	    C4M100	  4	165.330	  -3.581
         1	    C4M103	  4	170.340	  -3.777
         1	    C4M106	  4	175.350	  -3.622
         1	    C4M109	  4	180.360	  -1.066
         1	    C4M112	  4	185.370	  -3.622
         1	    C4M115	  4	190.380	  -3.777
         1	    C4M118	  4	195.390	  -3.777
         1	    C4M121	  4	200.400	  -3.487
         1	      C5M1	  5	  0.000	  -3.487
         1	      C5M4	  5	  5.010	  -3.777
         1	      C5M7	  5	 10.020	  -3.777
         1	     C5M10	  5	 15.030	  -3.777
         1	     C5M13	  5	 20.040	  -3.777
         1	     C5M16	  5	 25.050	  -3.777
         1	     C5M19	  5	 30.060	  -3.777
         1	     C5M22	  5	 35.070	  -3.777
         1	     C5M25	  5	 40.080	  -3.777
         1	     C5M28	  5	 45.090	  -3.777
         1	     C5M31	  5	 50.100	  -3.777
         1	     C5M34	  5	 55.110	  -3.777
         1	     C5M37	  5	 60.120	  -3.777
         1	     C5M40	  5	 65.130	  -3.777
         1	     C5M43	  5	 70.140	  -3.581
         1	     C5M46	  5	 75.150	  -0.942
         1	     C5M49	  5	 80.160	  -3.581
         1	     C5M52	  5	 85.170	  -3.777
         1	     C5M55	  5	 90.180	  -3.776
         1	     C5M58	  5	 95.190	  -3.105
         1	     C5M61	  5	100.200	  -0.129
         1	     C5M64	  5	105.210	  -0.009
         1	     C5M67	  5	110.220	  -3.007
         1	     C5M70	  5	115.230	  -3.775
         1	     C5M73	  5	120.240	  -3.349
         1	     C5M76	  5	125.250	  -0.472
         1	     C5M79	  5	130.260	  -2.959
         1	     C5M82	  5	135.270	  -1.063
         1	     C5M85	  5	140.280	  -3.622
         1	     C5M88	  5	145.290	  -3.777
         1	     C5M91	  5	150.300	  -3.777
         1	     C5M94	  5	155.310	  -3.777
         1	     C5M97	  5	160.320	  -3.777
         1	    C5M100	  5	165.330	  -3.777
         1	    C5M103	  5	170.340	  -3.777
         1	    C5M106	  5	175.350	  -3.777
         1	    C5M109	  5	180.360	  -3.777
         1	    C5M112	  5	185.370	  -3.777
         1	    C5M115	  5	190.380	  -3.777
         1	    C5M118	  5	195.390	  -3.777
         1	    C5M121	  5	200.400	  -3.487
         1	      C6M1	  6	  0.000	  -3.487
         1	      C6M4	  6	  5.010	  -3.772
         1	      C6M7	  6	 10.020	  -2.641
         1	     C6M10	  6	 15.030	   0.405
         1	     C6M13	  6	 20.040	   0.405
         1	     C6M16	  6	 25.050	  -2.641
         1	     C6M19	  6	 30.060	  -3.772
         1	     C6M22	  6	 35.070	  -3.349
         1	     C6M25	  6	 40.080	  -0.473
         1	     C6M28	  6	 45.090	  -3.349
         1	     C6M31	  6	 50.100	  -3.776
         1	     C6M34	  6	 55.110	  -3.349
         1	     C6M37	  6	 60.120	  -0.473
         1	     C6M40	  6	 65.130	  -3.349
         1	     C6M43	  6	 70.140	  -3.776
         1	     C6M46	  6	 75.150	  -3.777
         1	     C6M49	  6	 80.160	  -3.777
         1	     C6M52	  6	 85.170	  -3.777
         1	     C6M55	  6	 90.180	  -3.581
         1	     C6M58	  6	 95.190	  -0.942
         1	     C6M61	  6	100.200	  -3.581
         1	     C6M64	  6	105.210	  -3.777
         1	     C6M67	  6	110.220	  -3.777
         1	     C6M70	  6	115.230	  -3.777
         1	     C6M73	  6	120.240	  -3.777
         1	     C6M76	  6	125.250	  -3.776
         1	     C6M79	  6	130.260	  -3.349
         1	     C6M82	  6	135.270	  -0.473
         1	     C6M85	  6	140.280	  -3.349
         1	     C6M88	  6	145.290	  -3.776
         1	     C6M91	  6	150.300	  -3.777
         1	     C6M94	  6	155.310	  -3.777
         1	     C6M97	  6	160.320	  -3.777
         1	    C6M100	  6	165.330	  -3.776
         1	    C6M103	  6	170.340	  -3.349
