     locus	chr	    pos	    FLOD
      C1M1	  1	  0.000	  -5.660
      C1M2	  1	  1.670	  -6.792
      C1M3	  1	  3.340	  -7.101
      C1M4	  1	  5.010	  -9.395
      C1M5	  1	  6.680	  -4.486
      C1M6	  1	  8.350	  -4.300
      C1M7	  1	 10.020	  -4.433
      C1M8	  1	 11.690	  -7.658
      C1M9	  1	 13.360	 -10.479
     C1M10	  1	 15.030	 -10.181
     C1M11	  1	 16.700	  -7.465
     C1M12	  1	 18.370	  -7.267
     C1M13	  1	 20.040	  -4.866
     C1M14	  1	 21.710	  -7.775
     C1M15	  1	 23.380	  -6.236
     C1M16	  1	 25.050	 -10.481
     C1M17	  1	 26.720	 -10.667
     C1M18	  1	 28.390	  -8.895
     C1M19	  1	 30.060	 -10.961
     C1M20	  1	 31.730	  -9.765
     C1M21	  1	 33.400	 -11.071
     C1M22	  1	 35.070	  -4.196
     C1M23	  1	 36.740	  -5.951
     C1M24	  1	 38.410	 -11.248
     C1M25	  1	 40.080	 -11.335
     C1M26	  1	 41.750	 -15.861
     C1M27	  1	 43.420	 -17.964
     C1M28	  1	 45.090	 -11.051
     C1M29	  1	 46.760	 -12.453
     C1M30	  1	 48.430	  -9.397
     C1M31	  1	 50.100	  -9.853
     C1M32	  1	 51.770	 -12.826
     C1M33	  1	 53.440	 -13.268
     C1M34	  1	 55.110	 -13.399
     C1M35	  1	 56.780	 -13.589
     C1M36	  1	 58.450	 -15.158
     C1M37	  1	 60.120	  -7.898
     C1M38	  1	 61.790	  -6.938
     C1M39	  1	 63.460	 -10.394
     C1M40	  1	 65.130	 -17.328
     C1M41	  1	 66.800	 -11.147
     C1M42	  1	 68.470	  -8.603
     C1M43	  1	 70.140	 -14.100
     C1M44	  1	 71.810	  -7.642
     C1M45	  1	 73.480	  -9.021
     C1M46	  1	 75.150	  -7.583
     C1M47	  1	 76.820	 -11.669
     C1M48	  1	 78.490	 -10.632
     C1M49	  1	 80.160	 -12.562
     C1M50	  1	 81.830	  -9.569
     C1M51	  1	 83.500	  -9.530
     C1M52	  1	 85.170	  -7.113
     C1M53	  1	 86.840	  -6.475
     C1M54	  1	 88.510	  -8.670
     C1M55	  1	 90.180	 -10.172
     C1M56	  1	 91.850	 -10.392
     C1M57	  1	 93.520	 -11.866
     C1M58	  1	 95.190	  -5.737
     C1M59	  1	 96.860	 -14.412
     C1M60	  1	 98.530	 -10.525
     C1M61	  1	100.200	  -8.150
     C1M62	  1	101.870	 -13.971
     C1M63	  1	103.540	 -10.019
     C1M64	  1	105.210	  -9.941
     C1M65	  1	106.880	  -9.856
     C1M66	  1	108.550	 -10.761
     C1M67	  1	110.220	 -12.841
     C1M68	  1	111.890	 -10.206
     C1M69	  1	113.560	  -9.087
     C1M70	  1	115.230	 -11.042
     C1M71	  1	116.900	 -11.187
     C1M72	  1	118.570	 -12.308
     C1M73	  1	120.240	 -12.570
     C1M74	  1	121.910	 -10.997
     C1M75	  1	123.580	  -7.953
     C1M76	  1	125.250	  -8.779
     C1M77	  1	126.920	  -2.144
     C1M78	  1	128.590	  -4.241
     C1M79	  1	130.260	  -6.936
     C1M80	  1	131.930	  -9.766
     C1M81	  1	133.600	 -10.132
     C1M82	  1	135.270	  -9.978
     C1M83	  1	136.940	  -5.783
     C1M84	  1	138.610	  -9.558
     C1M85	  1	140.280	 -14.602
     C1M86	  1	141.950	 -10.548
     C1M87	  1	143.620	 -10.839
     C1M88	  1	145.290	 -14.926
     C1M89	  1	146.960	 -12.337
     C1M90	  1	148.630	  -9.758
     C1M91	  1	150.300	 -10.135
     C1M92	  1	151.970	 -15.270
     C1M93	  1	153.640	 -14.508
     C1M94	  1	155.310	  -7.063
     C1M95	  1	156.980	  -8.799
     C1M96	  1	158.650	  -8.945
     C1M97	  1	160.320	 -12.685
     C1M98	  1	161.990	  -8.159
     C1M99	  1	163.660	  -5.818
    C1M100	  1	165.330	  -4.848
    C1M101	  1	167.000	  -8.018
    C1M102	  1	168.670	  -7.075
    C1M103	  1	170.340	  -7.691
    C1M104	  1	172.010	  -5.715
    C1M105	  1	173.680	  -5.458
    C1M106	  1	175.350	  -1.578
    C1M107	  1	177.020	  -1.114
    C1M108	  1	178.690	   1.397
    C1M109	  1	180.360	   0.410
    C1M110	  1	182.030	   1.391
    C1M111	  1	183.700	   3.333
    C1M112	  1	185.370	   3.380
    C1M113	  1	187.040	   0.500
    C1M114	  1	188.710	  -0.016
    C1M115	  1	190.380	   2.524
    C1M116	  1	192.050	   2.194
    C1M117	  1	193.720	  -3.444
    C1M118	  1	195.390	  -4.410
    C1M119	  1	197.060	  -5.799
    C1M120	  1	198.730	 -10.229
    C1M121	  1	200.400	  -6.167
    C1M122	  1	202.070	  -7.431
